English,Signs,Unicode Signs
Home,o!5LFL,Оⵀᒍ☓ᘐ☓
Honor,h%P0LEG,⫪Ȏ⸝ᨓ☓Ṿᕤ
Hope,b%5S:SNbSvy,ΠȎᒍ⁊ᑲ⁊¦Π⁊⁼ᴺ
Horse,hP%/MhUy,⫪⸝Ȏᕂⴳ⫪⁊⸝ᴺ
Hospital,"h#)PMA-h""Q)PME",⫪ⵚᓇ⸝ⴳᐸ-⫪ⴱₒᓇ⸝ⴳṾ
Hot,pR!6IE,Ж℩ⵀ⩇ᘖṾ
Hour,d!b!MH,∣ⵀΠⵀⴳꕊ
House,b((EABN-b!!Ev,ΠᓂᓂṾᐸᐳ¦-ΠⵀⵀṾ⁼
How,bT((LJv,Π℩⸝ᓂᓂ☓ᘕ⁼
How many,s!Dpv,രⵀᐲЖ⁼
How much money?,"s""b!LDp",രⴱΠⵀ☓ᐲЖ
Hug,s!:8Lv,രⵀᑲᑯ☓⁼
Huh,"p"";=Ev",ЖⴱᕟᕞṾ⁼
Human,h#8:LELv,⫪ⵚᑯᑲ☓Ṿ☓⁼
Humble,d%P6L-b&!ME,∣Ȏ⸝⩇☓-ΠO̮ⵀⴳṾ
Hungry,pR!9ME,Ж℩ⵀɤⴳṾ
Hunh-uh,p&Ay,ЖO̮ᐸᴺ
Hurry,h&Evy,⫪O̮Ṿ⁼ᴺ
Hurt 1,d((JxBAz,∣ᓂᓂᘕᙾᐳᐸ⁷
Hurt 2,uU$3FhQL,ᐯ⁊⸝ⵕ⦣ᘐ⫪ₒ☓
Hurt feelings,q!8FLzz,ᕬⵀᑯᘐ☓⁷⁷
Husband,c%0L-c**L,СȎᨓ☓-Сⴲⴲ☓
Husky,dP!8:GAB,∣⸝ⵀᑯᑲᕤᐸᐳ
I,d(9L,∣ᓂɤ☓
Ice cream,s%6LEGy,രȎ⩇☓Ṿᕤᴺ
Ice skate (v) 1,dR&&Gvy,∣℩O̮O̮ᕤ⁼ᴺ
Ice skate (v) 2,dR&&Gwy,∣℩O̮O̮ᕤᣛᴺ
Ice skates (n) 1,dR&&Gvzzy,∣℩O̮O̮ᕤ⁼⁷⁷ᴺ
Ice skates (n) 2,dR&&Gwzzy,∣℩O̮O̮ᕤᣛ⁷⁷ᴺ
Idea,i(0LG,Һᓂᨓ☓ᕤ
If 1,i(/LGy,Һᓂᕂ☓ᕤᴺ
If 2,i(5LGy,Һᓂᒍ☓ᕤᴺ
Ignore,n(3LGE,ቨᓂ⦣☓ᕤṾ
Imagine,i(0LG,Һᓂᨓ☓ᕤ
Important,fQ%%IBAL,ᗐₒȎȎᘖᐳᐸ☓
Improve,"b&""SLFL",ΠO̮ⴱ⁊☓ᘐ☓
In,oS!o%EL,О⁊ⵀОȎṾ☓
"Increase, raise in pay, put on weight","h#""QIL",⫪ⵚⴱₒᘖ☓
Independent,"i""S#SLIAB",Һⴱ⁊ⵚ⁊☓ᘖᐸᐳ
India,aP#0L,റ⸝ⵚᨓ☓
Indian (american),fQ!3LD/L,ᗐₒⵀ⦣☓ᐲᕂ☓
Inform,o!09SLGpSv,Оⵀᨓɤ⁊☓ᕤЖ⁊⁼
Inject,uP(S)PFhQL,ᐯ⸝ᓂ⁊ᓇ⸝ᘐ⫪ₒ☓
Innocent,h#6LEAB,⫪ⵚ⩇☓Ṿᐸᐳ
Insect,uP%3MuTy,ᐯ⸝Ȏ⦣ⴳᐯ℩⸝ᴺ
Insert,oS!cS*BL,О⁊ⵀС⁊ⴲᐳ☓
Inspire,s&<MDp9v,രO̮ЭⴳᐲЖɤ⁼
Insult,d(GJ%zz,∣ᓂᕤᘕȎ⁷⁷
Interest,p!9<LGqv,ЖⵀɤЭ☓ᕤᕬ⁼
Interest (monetary),i&s!MHy,ҺO̮രⵀⴳꕊᴺ
Interpret,fQ!!LJxL,ᗐₒⵀⵀ☓ᘕᙾ☓
Interrupt,b&+GL,ΠO̮◷ᕤ☓
Introduce,bS!!;S=SBAL,Π⁊ⵀⵀᕟ⁊ᕞ⁊ᐳᐸ☓
Invest,hT$b!LDG,⫪℩⸝ⵕΠⵀ☓ᐲᕤ
Invite,b&8PEB9S,ΠO̮ᑯ⸝Ṿᐳɤ⁊
Ireland 1,"hR!s""HL",⫪℩ⵀരⴱꕊ☓
Ireland 2,"uR!s""HL",ᐯ℩ⵀരⴱꕊ☓
Irish 1,"hR!s""HL",⫪℩ⵀരⴱꕊ☓
Irish 2,"uR!s""HL",ᐯ℩ⵀരⴱꕊ☓
Iron (v),aP(b!MCy,റ⸝ᓂΠⵀⴳⵢᴺ
Iron (n),aP(b!MCzzy,റ⸝ᓂΠⵀⴳⵢ⁷⁷ᴺ
Iron (the element),s&i(LGy,രO̮Һᓂ☓ᕤᴺ
Island,"i&s""MHy",ҺO̮രⴱⴳꕊᴺ
Israel,i(6LEBLE,Һᓂ⩇☓Ṿᐳ☓Ṿ
Italy,i(0E-i(0A,ҺᓂᨓṾ-Һᓂᨓᐸ
Itself,aP(d%PLy,റ⸝ᓂ∣Ȏ⸝☓ᴺ
Jail,"n""Q!Ly",ቨⴱₒⵀ☓ᴺ
Japan 1,g!!LDAx,⊃ⵀⵀ☓ᐲᐸᙾ
Japan 2,i(2MJy,Һᓂᖌⴳᘕᴺ
Jealous,i(6LJG,Һᓂ⩇☓ᘕᕤ
Jelly,i(b!LJD,ҺᓂΠⵀ☓ᘕᐲ
Join 1,gXBAL,⊃ѵᐳᐸ☓
Join 2,fQBAL,ᗐₒᐳᐸ☓
Judge (v),fQ&EDwy,ᗐₒO̮Ṿᐲᣛᴺ
Judge (n),fQ&EDwzzy,ᗐₒO̮Ṿᐲᣛ⁷⁷ᴺ
Jump,u(b!LDuRy,ᐯᓂΠⵀ☓ᐲᐯ℩ᴺ
Just,dR(5LFy,∣℩ᓂᒍ☓ᘐᴺ
Keep,k&%EL,७O̮ȎṾ☓
Key,dR(b!MJy,∣℩ᓂΠⵀⴳᘕᴺ
Kick,b%&DL,ΠȎO̮ᐲ☓
Kid,j%3MJy,ЧȎ⦣ⴳᘕᴺ
Kill 1,d%b!ME,∣ȎΠⵀⴳṾ
Kill 2,k%b!ME,७ȎΠⵀⴳṾ
Kindergarten,k&Cy,७O̮ⵢᴺ
King,k%:LE;L,७Ȏᑲ☓Ṿᕟ☓
Kiss,o!5L-o!!L,Оⵀᒍ☓-Оⵀⵀ☓
Kitchen,k!b!LJLy,७ⵀΠⵀ☓ᘕ☓ᴺ
Kite,aQ&9S0SEvy,റₒO̮ɤ⁊ᨓ⁊Ṿ⁼ᴺ
Kneel,uR(b!EL,ᐯ℩ᓂΠⵀṾ☓
Knit,d&P%PMIvy,∣O̮⸝Ȏ⸝ⴳᘖ⁼ᴺ
Knock,a!b!LSy,റⵀΠⵀ☓⁊ᴺ
Know 1,bU!0FL,Π⁊⸝ⵀᨓᘐ☓
Know 2,bU!0Ly,Π⁊⸝ⵀᨓ☓ᴺ
Know that,b%0LIGEzz,ΠȎᨓ☓ᘖᕤṾ⁷⁷
Korea,k!2MJy,७ⵀᖌⴳᘕᴺ
Label (v),h#b!MA,⫪ⵚΠⵀⴳᐸ
Label (n),h#b!MAy,⫪ⵚΠⵀⴳᐸᴺ
Land [airplane],jP!b!EBL,Ч⸝ⵀΠⵀṾᐳ☓
Language,dP%%LIyAB,∣⸝ȎȎ☓ᘖᴺᐸᐳ
Large,dT!!ABN,∣℩⸝ⵀⵀᐸᐳ¦
Large (cup),"b!""9S<SGNv",Πⵀⴱɤ⁊Э⁊ᕤ¦⁼
Last,i((ELE,ҺᓂᓂṾ☓Ṿ
Late,b!;SJ!,Πⵀᕟ⁊ᘕⵀ
Later,dP%b!MJ,∣⸝ȎΠⵀⴳᘕ
Laugh,d#57LFvy,∣ⵚᒍᒐ☓ᘐ⁼ᴺ
"Law, Lawyer",dP!b!LEL,∣⸝ⵀΠⵀ☓Ṿ☓
Lawn-mower,s%%Gvy,രȎȎᕤ⁼ᴺ
Lazy,dP!:Ly,∣⸝ⵀᑲ☓ᴺ
Lead,a*b(LGv,റⴲΠᓂ☓ᕤ⁼
Leak,n&8SEy,ቨO̮ᑯ⁊Ṿᴺ
Learn,pS!b!LDo0L,Ж⁊ⵀΠⵀ☓ᐲОᨓ☓
Lecture 1,b&5SGy,ΠO̮ᒍ⁊ᕤᴺ
Lecture 2,b&5SJ&Gy,ΠO̮ᒍ⁊ᘕO̮ᕤᴺ
Lemon,dP%6Ly,∣⸝Ȏ⩇☓ᴺ
Lend,k&%LGEv,७O̮Ȏ☓ᕤṾ⁼
Letter 1,aP#6L-aP##L,റ⸝ⵚ⩇☓-റ⸝ⵚⵚ☓
Letter 2,aP#6L-aP#b!L,റ⸝ⵚ⩇☓-റ⸝ⵚΠⵀ☓
Lettuce,bS$$Ly,Π⁊ⵕⵕ☓ᴺ
Library,dP!Hy,∣⸝ⵀꕊᴺ
License,dP%%BALy,∣⸝ȎȎᐳᐸ☓ᴺ
Lick,h(5LDy,⫪ᓂᒍ☓ᐲᴺ
Lie,b%6LB,ΠȎ⩇☓ᐳ
Lie down,"u""b!EL",ᐯⴱΠⵀṾ☓
Lift,b&&Dv,ΠO̮O̮ᐲ⁼
Light (electric),q6DqPLy,ᕬ⩇ᐲᕬ⸝☓ᴺ
Light in weight,qP%%JDAB,ᕬ⸝ȎȎᘕᐲᐸᐳ
Lightening bolt 1,s(d(LCEd,രᓂ∣ᓂ☓ⵢṾ∣
Lightening bolt 2,d(/SCEzz,∣ᓂᕂ⁊ⵢṾ⁷⁷
Like,qZ!9LGqN,ᕬ⊥ⵀɤ☓ᕤᕬ¦
"Limousine, Cadillac",c&%LFx,СO̮Ȏ☓ᘐᙾ
Lion,pR!0LDJF,Ж℩ⵀᨓ☓ᐲᘕᘐ
Lip,g*6QMGy,⊃ⴲ⩇ₒⴳᕤᴺ
"Lip-read, read lips",uR!6C,ᐯ℩ⵀ⩇ⵢ
"Lip-read, read lips, oral",uR!6H,ᐯ℩ⵀ⩇ꕊ
Lipstick,dR!6Czzy,∣℩ⵀ⩇ⵢ⁷⁷ᴺ
Liquid,f%6LGEG,ᗐȎ⩇☓ᕤṾᕤ
List (n),bS&b!LyE,Π⁊O̮Πⵀ☓ᴺṾ
List (v),oS!b!MyE,О⁊ⵀΠⵀⴳᴺṾ
Listen,c%2L,СȎᖌ☓
Little bit,aQ&NaPy,റₒO̮¦റ⸝ᴺ
Liver,bS!<Ly,Π⁊ⵀЭ☓ᴺ
Living room,dP%9LDy,∣⸝Ȏɤ☓ᐲᴺ
Lobster,u!!;S=SNhvy,ᐯⵀⵀᕟ⁊ᕞ⁊¦⫪⁼ᴺ
Lock,"s&""JL",രO̮ⴱᘕ☓
Lonely,d%P6LEGy,∣Ȏ⸝⩇☓Ṿᕤᴺ
Long,"d#""MF""S",∣ⵚⴱⴳᘐⴱ⁊
Long (object),d!!ABN,∣ⵀⵀᐸᐳ¦
Long face,cS!0E,С⁊ⵀᨓṾ
Long hair,b(/1E8:Nv,ΠᓂᕂᕃṾᑯᑲ¦⁼
Long list,b%&LnnKE,ΠȎO̮☓ቨቨ≈Ṿ
Look at,u(8SGN,ᐯᓂᑯ⁊ᕤ¦
Look back,uS!2PF2,ᐯ⁊ⵀᖌ⸝ᘐᖌ
Look for 1,c%3Hy,СȎ⦣ꕊᴺ
Look for 2,c%3Hvy,СȎ⦣ꕊ⁼ᴺ
Look for 3,c%3HyB,СȎ⦣ꕊᴺᐳ
Lose,oS((LIEpv,О⁊ᓂᓂ☓ᘖṾЖ⁼
Lousy,uP%3LE,ᐯ⸝Ȏ⦣☓Ṿ
Love,a!:8Lv,റⵀᑲᑯ☓⁼
Low,b!E,ΠⵀṾ
Lunch,dP%6Ly,∣⸝Ȏ⩇☓ᴺ
Lung,bS!8:MEDvy,Π⁊ⵀᑯᑲⴳṾᐲ⁼ᴺ
"Machine, mechanical",pR++MI&vy,Ж℩◷◷ⴳᘖO̮⁼ᴺ
Magazine,g*b&MDy,⊃ⴲΠO̮ⴳᐲᴺ
Magician,s(Gpv-b$;=MEv,രᓂᕤЖ⁼-ΠⵕᕟᕞⴳṾ⁼
Magnify,s(c*LABcc,രᓂСⴲ☓ᐸᐳСС
Make,"s&%LJ""Lv",രO̮Ȏ☓ᘕⴱ☓⁼
Make a mistake,iP!6FL,Һ⸝ⵀ⩇ᘐ☓
Make-tortillas,b!!LJxL,Πⵀⵀ☓ᘕᙾ☓
Man 1,cS%0LGoSN,С⁊Ȏᨓ☓ᕤО⁊¦
Man 2,p%0LE9L,ЖȎᨓ☓Ṿɤ☓
Many,"s""Epv",രⴱṾЖ⁼
March,"n""!9S9PJ""Gvy",ቨⴱⵀɤ⁊ɤ⸝ᘕⴱᕤ⁼ᴺ
Marry,c**HL,Сⴲⴲꕊ☓
Mash,s&b!ELy,രO̮ΠⵀṾ☓ᴺ
Mask,b!57IFvy,Πⵀᒍᒐᘖᘐ⁼ᴺ
Match,aQ(b!MJDy,റₒᓂΠⵀⴳᘕᐲᴺ
Math,fS&%LBxy,ᗐ⁊O̮Ȏ☓ᐳᙾᴺ
Mean,u(b!LJL,ᐯᓂΠⵀ☓ᘕ☓
Measure,iP%%Lvy,Һ⸝ȎȎ☓⁼ᴺ
Measuring tape,aQ((LGy,റₒᓂᓂ☓ᕤᴺ
Meat,fQ*b%MJy,ᗐₒⴲΠȎⴳᘕᴺ
Medicine,qP!b!MCy,ᕬ⸝ⵀΠⵀⴳⵢᴺ
Meet [a person],d!!BAL,∣ⵀⵀᐳᐸ☓
Meet [as a group],p!!BAoS$$L,ЖⵀⵀᐳᐸО⁊ⵕⵕ☓
Meeting,p!!BAoS$$y,ЖⵀⵀᐳᐸО⁊ⵕⵕᴺ
Memorize,p(0LGs,Жᓂᨓ☓ᕤര
Mexico,dR(8L-dR**L,∣℩ᓂᑯ☓-∣℩ⴲⴲ☓
Microscope,o&%MJ!vy,ОO̮Ȏⴳᘕⵀ⁼ᴺ
Microwave,s!!8S:SBApABs,രⵀⵀᑯ⁊ᑲ⁊ᐳᐸЖᐸᐳര
Milk,c(8SNsy,Сᓂᑯ⁊¦രᴺ
Milk a cow,c&Eswy,СO̮Ṿരᣛᴺ
"Minus, negative 1",d%b!BLy,∣ȎΠⵀᐳ☓ᴺ
"Minus, negative 2",d%b!FLy,∣ȎΠⵀᘐ☓ᴺ
Minute,d!b!MJ&,∣ⵀΠⵀⴳᘕO̮
Mirror,b!3SJy,Πⵀ⦣⁊ᘕᴺ
"Miscellaneous, assorted, various",d#(SLAByA,∣ⵚᓂ⁊☓ᐸᐳᴺᐸ
Mischievous,uP%/1LEuTvy,ᐯ⸝Ȏᕂᕃ☓Ṿᐯ℩⸝⁼ᴺ
Miss,pR%6BEs,Ж℩Ȏ⩇ᐳṾര
"Mistake, error",iP!6Ly,Һ⸝ⵀ⩇☓ᴺ
Mix,pR!!9S<SAFwy,Ж℩ⵀⵀɤ⁊Э⁊ᐸᘐᣛᴺ
Mock,j(Gvy,Чᓂᕤ⁼ᴺ
Monday 1,"mS""Hy",爪⁊ⴱꕊᴺ
Monday 2,"mR""Hy",爪℩ⴱꕊᴺ
Money,oS(b!ELy,О⁊ᓂΠⵀṾ☓ᴺ
Monkey,pR!;=LDvy,Ж℩ⵀᕟᕞ☓ᐲ⁼ᴺ
Month,d&P%PME,∣O̮⸝Ȏ⸝ⴳṾ
Mooch,hQ*d(LGvy,⫪ₒⴲ∣ᓂ☓ᕤ⁼ᴺ
Moose,p%/1LEGv,ЖȎᕂᕃ☓Ṿᕤ⁼
Mop,a($Gvzzy,റᓂⵕᕤ⁼⁷⁷ᴺ
Mop floor,a($GFvy,റᓂⵕᕤᘐ⁼ᴺ
More,o!!Lvy,Оⵀⵀ☓⁼ᴺ
Morning,b)R&MJ!,Πᓇ℩O̮ⴳᘕⵀ
Most,aP!!DLD,റ⸝ⵀⵀᐲ☓ᐲ
Mother,p%6Ly,ЖȎ⩇☓ᴺ
Motorcycle 1,s(;S=SIvzzy,രᓂᕟ⁊ᕞ⁊ᘖ⁼⁷⁷ᴺ
Motorcycle 2,"s%%;S=SI""vzzy",രȎȎᕟ⁊ᕞ⁊ᘖⴱ⁼⁷⁷ᴺ
Mouse,d%3ALAy,∣Ȏ⦣ᐸ☓ᐸᴺ
Mouth,d(6MH,∣ᓂ⩇ⴳꕊ
Move,o%%8SB:Sv,ОȎȎᑯ⁊ᐳᑲ⁊⁼
Move in a herd,c!!BGBv,Сⵀⵀᐳᕤᐳ⁼
Move out,"oS%%J""Apv",О⁊ȎȎᘕⴱᐸЖ⁼
Movie,p$b%MJy,ЖⵕΠȎⴳᘕᴺ
Mow lawn,s%%EGv,രȎȎṾᕤ⁼
Mull over,o!0KHy,Оⵀᨓ≈ꕊᴺ
Multiply,k&%MBx,७O̮Ȏⴳᐳᙾ
Mustache,oQ!6MAB,Оₒⵀ⩇ⴳᐸᐳ
My,b!9L,Πⵀɤ☓
Myself,aP(9Ly,റ⸝ᓂɤ☓ᴺ
Nail,aQ(%Ezzy,റₒᓂȎṾ⁷⁷ᴺ
Name (v),h&P%PLGv,⫪O̮⸝Ȏ⸝☓ᕤ⁼
Name (n),h&P%PLy,⫪O̮⸝Ȏ⸝☓ᴺ
Narrow,bS!!BAN,Π⁊ⵀⵀᐳᐸ¦
Near 1,"b!""FL",Πⵀⴱᘐ☓
Near 2,"b""!GL",Πⴱⵀᕤ☓
Neck,bS!8(LEL,Π⁊ⵀᑯᓂ☓Ṿ☓
Necklace,d(9MABDvy,∣ᓂɤⴳᐸᐳᐲ⁼ᴺ
Necktie,h#9ME,⫪ⵚɤⴳṾ
Neighbor,"b!""LGE",Πⵀⴱ☓ᕤṾ
Nephew,hS%/Iy,⫪⁊Ȏᕂᘖᴺ
Nervous,p!!Ivy,Жⵀⵀᘖ⁼ᴺ
Never 1,b&CE,ΠO̮ⵢṾ
Never 2,b&AEA,ΠO̮ᐸṾᐸ
New,"bS""b!BLBy",Π⁊ⴱΠⵀᐳ☓ᐳᴺ
New York,iP!b!MGFy,Һ⸝ⵀΠⵀⴳᕤᘐᴺ
Newspaper,g$b!oQLy,⊃ⵕΠⵀОₒ☓ᴺ
Nice,b!!MGN,Πⵀⵀⴳᕤ¦
Niece,hS%5Iy,⫪⁊Ȏᒍᘖᴺ
Night,bS$b%Ly,Π⁊ⵕΠȎ☓ᴺ
No,uP!NhQy,ᐯ⸝ⵀ¦⫪ₒᴺ
Noisy,p(24LIGvy,Жᓂᖌᖍ☓ᘖᕤ⁼ᴺ
None 1,o&ABE,ОO̮ᐸᐳṾ
None 2,o&JEvzz,ОO̮ᘕṾ⁼⁷⁷
Noon,"b)""Ly",Πᓇⴱ☓ᴺ
North,hS(D,⫪⁊ᓂᐲ
Norway 1,hS%0By,⫪⁊Ȏᨓᐳᴺ
Norway 2,hS%0Hy,⫪⁊Ȏᨓꕊᴺ
Nose,d(3Ly,∣ᓂ⦣☓ᴺ
Not,aP#6LGzz,റ⸝ⵚ⩇☓ᕤ⁷⁷
Not mind,d(3LIG,∣ᓂ⦣☓ᘖᕤ
Not yet,b!;SJ!y,Πⵀᕟ⁊ᘕⵀᴺ
Nothing,"s""69SLGpv",രⴱ⩇ɤ⁊☓ᕤЖ⁼
Notice,dR!2QLJGN,∣℩ⵀᖌₒ☓ᘕᕤ¦
Now,"iP""EvN",Һ⸝ⴱṾ⁼¦
Number,o!!LJxL,Оⵀⵀ☓ᘕᙾ☓
Nurse,h#b$SLy,⫪ⵚΠⵕ⁊☓ᴺ
Nut,aP#6LGy,റ⸝ⵚ⩇☓ᕤᴺ
Obey,o!09SLEpv,Оⵀᨓɤ⁊☓ṾЖ⁼
Off (work),p%8:FLv,ЖȎᑯᑲᘐ☓⁼
Offer,b&&GEv,ΠO̮O̮ᕤṾ⁼
Office,"o!!J""vGx",Оⵀⵀᘕⴱ⁼ᕤᙾ
OK,o&GkN,ОO̮ᕤ७¦
Okay (v),o&b!EkL,ОO̮ΠⵀṾ७☓
Old,c%6LEs,СȎ⩇☓Ṿര
On,"b#""EL",ΠⵚⴱṾ☓
Once,d(b!LJD,∣ᓂΠⵀ☓ᘕᐲ
Onion,dR(/MJy,∣℩ᓂᕂⴳᘕᴺ
Only,d!Jzz,∣ⵀᘕ⁷⁷
Open,b%%LJAB,ΠȎȎ☓ᘕᐸᐳ
Open door,b%%LJA,ΠȎȎ☓ᘕᐸ
Open drawer,s&&;S=SFv,രO̮O̮ᕟ⁊ᕞ⁊ᘐ⁼
Open window,b&%LD,ΠO̮Ȏ☓ᐲ
Open-a-book,b!!LJv,Πⵀⵀ☓ᘕ⁼
Open-umbrella,s&%LD,രO̮Ȏ☓ᐲ
Opposite,d((LABE,∣ᓂᓂ☓ᐸᐳṾ
Oppress,b!d(LEvy,Πⵀ∣ᓂ☓Ṿ⁼ᴺ
Or 1,d(dP%L-d(dP(L,∣ᓂ∣⸝Ȏ☓-∣ᓂ∣⸝ᓂ☓
Or 2,o(dP%L-o(dP(L,Оᓂ∣⸝Ȏ☓-Оᓂ∣⸝ᓂ☓
Orange,c%6Msy,СȎ⩇ⴳരᴺ
Orphan,o!6LBL,Оⵀ⩇☓ᐳ☓
Our,bR%8LJB:L,Π℩Ȏᑯ☓ᘕᐳᑲ☓
Outside,"pS""c*LAo",Ж⁊ⴱСⴲ☓ᐸО
Oven,b!!<S9SG,ΠⵀⵀЭ⁊ɤ⁊ᕤ
"Overlook, miss",b!3J&E,Πⵀ⦣ᘕO̮Ṿ
Oversleep,p!3Eo-fQ%b&D,Жⵀ⦣ṾО-ᗐₒȎΠO̮ᐲ
Owe,d(b!Ly,∣ᓂΠⵀ☓ᴺ
Pain,dS!!BAy,∣⁊ⵀⵀᐳᐸᴺ
Paint (v),b(!EDy,ΠᓂⵀṾᐲᴺ
Paint (n),b(!EDzzy,ΠᓂⵀṾᐲ⁷⁷ᴺ
Paint a picture,hP(b!Ev,⫪⸝ᓂΠⵀṾ⁼
"Panties, bikini",cQ!<MABy,СₒⵀЭⴳᐸᐳᴺ
Pants 1,b#;)=)LDbRvy,Πⵚᕟᓇᕞᓇ☓ᐲΠ℩⁼ᴺ
Pants 2,b&;)MEv-b&=)MEv,ΠO̮ᕟᓇⴳṾ⁼-ΠO̮ᕞᓇⴳṾ⁼
Paper 1,bLBy,Π☓ᐳᴺ
Paper 2,bLBxy,Π☓ᐳᙾᴺ
Parachute,"uS""b!3S9SEv",ᐯ⁊ⴱΠⵀ⦣⁊ɤ⁊Ṿ⁼
Parade,"n""!9S9PJ""Gvzzy",ቨⴱⵀɤ⁊ɤ⸝ᘕⴱᕤ⁼⁷⁷ᴺ
Parallel,d%%Gvz,∣ȎȎᕤ⁼⁷
Parents,p%6LD0L,ЖȎ⩇☓ᐲᨓ☓
Paris,u##BADL,ᐯⵚⵚᐳᐸᐲ☓
"Partner, room-mate",pR++BALy,Ж℩◷◷ᐳᐸ☓ᴺ
Party 1,k%%IxAvy,७ȎȎᘖᙾᐸ⁼ᴺ
Party 2,k%%Ivy,७ȎȎᘖ⁼ᴺ
Pass,aP!!GLG,റ⸝ⵀⵀᕤ☓ᕤ
Pass a car,aP($LAG,റ⸝ᓂⵕ☓ᐸᕤ
Patient,a%6ME,റȎ⩇ⴳṾ
Pay,"d(b!LJ""",∣ᓂΠⵀ☓ᘕⴱ
Pay attention,b%57LGv,ΠȎᒍᒐ☓ᕤ⁼
"Pay off, pay in full",qP!b!LF-b!!MG,ᕬ⸝ⵀΠⵀ☓ᘐ-Πⵀⵀⴳᕤ
Peach,o!5MHy,Оⵀᒍⴳꕊᴺ
Peanut,oQ*d(LBy,Оₒⴲ∣ᓂ☓ᐳᴺ
Pear 1,kEear,७ṾΩറ୪
Pear 2,o*(LAo!!L,Оⴲᓂ☓ᐸОⵀⵀ☓
Peek up,s!b%D-uS!b%I,രⵀΠȎᐲ-ᐯ⁊ⵀΠȎᘖ
Peer over edge,b%2Q4QLv,ΠȎᖌₒᖍₒ☓⁼
Pen,oQ!b!LGDzzy,ОₒⵀΠⵀ☓ᕤᐲ⁷⁷ᴺ
People,k!Ewy,७ⵀṾᣛᴺ
Pepper 1,fQ!Ey,ᗐₒⵀṾᴺ
Pepper 2,fQ%Ey,ᗐₒȎṾᴺ
Pepsi,i!0BNAz,Һⵀᨓᐳ¦ᐸ⁷
Perch on branch,hR!p+SL,⫪℩ⵀЖ◷⁊☓
Perfect 1,fQ!!HL,ᗐₒⵀⵀꕊ☓
Perfect 2,fQ!!HEL,ᗐₒⵀⵀꕊṾ☓
Perform-surgery,aP%b!MG,റ⸝ȎΠⵀⴳᕤ
Perpendicular,d(#GL,∣ᓂⵚᕤ☓
Person,k$;=MEv,७ⵕᕟᕞⴳṾ⁼
Pet,"b#""LFy",Πⵚⴱ☓ᘐᴺ
"Phone, telephone (v)",iP!5L,Һ⸝ⵀᒍ☓
"Phone, telephone (n)",iP!5Ly,Һ⸝ⵀᒍ☓ᴺ
Piano,pR%%KCvzzy,Ж℩ȎȎ≈ⵢ⁼⁷⁷ᴺ
Pick on,oQ!d%PLy,Оₒⵀ∣Ȏ⸝☓ᴺ
Picture,c%5L-c%b!L,СȎᒍ☓-СȎΠⵀ☓
Pig,"b""6MbSy",Πⴱ⩇ⴳΠ⁊ᴺ
Pigeon,bR%6LJE9L,Π℩Ȏ⩇☓ᘕṾɤ☓
Pile,p%%LJABE,ЖȎȎ☓ᘕᐸᐳṾ
Pill,oQ!6FdPzzy,Оₒⵀ⩇ᘐ∣⸝⁷⁷ᴺ
Pineapple 1,cQ%o%MJ,СₒȎОȎⴳᘕ
Pineapple 2,fQ%2QJ!y,ᗐₒȎᖌₒᘕⵀᴺ
Pink,k!6LEy,७ⵀ⩇☓Ṿᴺ
Pipe,iP%6LGzzy,Һ⸝Ȏ⩇☓ᕤ⁷⁷ᴺ
Pity,qP!GEy,ᕬ⸝ⵀᕤṾᴺ
Plaid,"n#p!ME-n""Qp!MA",ቨⵚЖⵀⴳṾ-ቨⴱₒЖⵀⴳᐸ
Plaid (clothing),n#9MA-n!Q9ME,ቨⵚɤⴳᐸ-ቨⵀₒɤⴳṾ
Plan (v),b!!AvyA,Πⵀⵀᐸ⁼ᴺᐸ
Plan(s) (n),b!!Avy,Πⵀⵀᐸ⁼ᴺ
Plant (n),"o""Qc*LDpSy",ОⴱₒСⴲ☓ᐲЖ⁊ᴺ
Plant (v),oS%b%GaN,О⁊ȎΠȎᕤറ¦
Play,iP&Ivy,Һ⸝O̮ᘖ⁼ᴺ
Play baseball,s&%LGBvy,രO̮Ȏ☓ᕤᐳ⁼ᴺ
Play tennis,aQ!8SJBNIA,റₒⵀᑯ⁊ᘕᐳ¦ᘖᐸ
Please,b!9MHy,Πⵀɤⴳꕊᴺ
Plug [in],u++GL,ᐯ◷◷ᕤ☓
Plum,k!5MHy,७ⵀᒍⴳꕊᴺ
Plumber,u+d%MJ%y,ᐯ◷∣ȎⴳᘕȎᴺ
Plunge into,"s%b""2S;SJELzz",രȎΠⴱᖌ⁊ᕟ⁊ᘕṾ☓⁷⁷
"Point, score",d#(ELy,∣ⵚᓂṾ☓ᴺ
Poison,"uR""S$SLy",ᐯ℩ⴱ⁊ⵕ⁊☓ᴺ
Poland,aP#3LDy,റ⸝ⵚ⦣☓ᐲᴺ
Police,c%:Ly,СȎᑲ☓ᴺ
Polish [a hard surface],"a!s""MFGy",റⵀരⴱⴳᘐᕤᴺ
Polite,p%9Ly,ЖȎɤ☓ᴺ
Polka-dot,fQ&b!LyCE,ᗐₒO̮Πⵀ☓ᴺⵢṾ
Poor,o*)LEy,Оⴲᓇ☓Ṿᴺ
Popular,pR!d%PLy,Ж℩ⵀ∣Ȏ⸝☓ᴺ
Postpone,fQ!!LGE,ᗐₒⵀⵀ☓ᕤṾ
